41.5175800	-7.6047030
41.5191090	-7.5993370
41.5217550	-7.5955050
41.5249870	-7.5961420
41.5265880	-7.5922480
41.5277890	-7.5822020
41.5309390	-7.5776860
41.5377910	-7.5745870
41.5396510	-7.5684440
41.5419700	-7.5680570
41.5461640	-7.5648480
41.5434890	-7.5569460
41.5449140	-7.5535100
41.5469580	-7.5513300
41.5494480	-7.5495120
41.5543320	-7.5390660
41.5561900	-7.5363630
41.5576450	-7.5332840
41.5605420	-7.5301720
41.5534020	-7.5289670
41.5582110	-7.5246610
41.5653910	-7.5241260
41.5673020	-7.5214200
41.5691220	-7.5172410
41.5718230	-7.5157640
41.5726220	-7.5120870
41.5748930	-7.5094320
41.5769820	-7.5079690
41.5787210	-7.5046060
41.5792210	-7.5007680
41.5424970	-7.5305690
41.5457620	-7.5295000
41.5478440	-7.5267910
41.5430050	-7.5216980
41.5465230	-7.5193160
41.5515730	-7.5184090
41.5462090	-7.5131370
41.5489740	-7.5130850
41.5527620	-7.5120870
41.5565940	-7.5152130
41.5588560	-7.5159890
41.5522660	-7.5065230
41.5550080	-7.5067960
41.5280730	-7.5295170
41.5247680	-7.5274590
41.5261400	-7.5234840
41.5258140	-7.5170440
41.5228060	-7.5080160
41.5251870	-7.5103820
41.5265480	-7.5069830
